patch,run1,run2,run3,mean
1,74.73119318599947,68.87674106400027,77.07423368699983,73.56072264566653
2,20.548299123000106,18.631851574999928,18.791405558000406,19.32385208533348
3,7.497474232999593,7.671194896000088,8.095683784000357,7.754784304333346
4,4.705083060999641,4.590533226999469,4.190550399999665,4.495388895999592
5,3.323367793000216,3.133634132000225,3.018362893999438,3.158454939666626
6,2.471041435999723,2.431814894999661,2.408954334000555,2.437270221666646
7,1.9059334699995816,1.9992877599997882,1.8933565870001985,1.9328592723331894
8,1.605026741999609,1.6540762280001218,1.6457496309994895,1.6349508669997401
9,1.4022741080007108,1.6386431060000177,1.5086056360005387,1.516507616667089
10,1.2754001720004453,1.320623632999741,1.3056751930007522,1.3005663326669794
11,1.2347844740006622,1.4570286939997459,1.2637459659999877,1.3185197113334652
12,1.1640030070002467,1.1038637980000203,1.1663118349997603,1.1447262133333425
13,1.2859887710001203,1.3511272260002443,1.2155464310008028,1.2842208093337224
14,1.0707646360006038,1.1432979420005722,1.014847477999865,1.076303352000347
15,0.997552270999222,1.0425440349999917,0.9919025509998391,1.0106662856663509
16,1.390226409999741,1.362423816000046,1.1235095470001397,1.2920532576666421
17,1.0523370380005872,1.0115869909996036,0.9820374410001023,1.0153204900000976
18,1.0176782770004138,1.1279518470000767,0.9655440579999777,1.0370580606668227
19,1.0153375310001138,0.9117513269993651,0.9975405800005319,0.974876479333337
20,0.9034047750001264,0.9501129039999796,0.9248185890000968,0.926112089333401
21,1.1355850540003303,0.9399218899998232,0.9247469459996864,1.0000846299999466
22,0.9805974200007768,0.9012008379995677,0.9639335840001877,0.9485772806668441
23,0.9646026760001405,0.9264157450006678,0.9027151820000654,0.9312445343336245
24,1.054279490999761,0.894874241999787,0.9919008289998601,0.9803515206664694
25,0.9168560600001001,0.9326919280001675,0.9168795830000818,0.9221425236667832
26,0.9061661549994824,0.8719141009996747,1.0828905220005254,0.9536569259998942
27,0.9245696110001518,0.8902505129999554,0.9483327689995349,0.921050964333214
28,0.8851203549993443,0.9530868020001435,0.8717723250001654,0.9033264939998844
29,0.948231160999967,0.8679454109997096,1.0598814559998573,0.9586860093331779
30,1.0184181220001847,1.0367967540005338,0.9975152140004866,1.0175766966670683
31,0.9007316739998714,0.9206175350000194,0.9021672580001905,0.9078388223333604
32,0.9394694319998962,1.0547199439997712,1.0967621939998935,1.0303171899998536
33,0.9760131499997442,0.8739647550000882,0.904700215000048,0.9182260399999601
34,0.9013038129996858,0.9208859720001783,0.876033274999827,0.8994076866665637
35,1.0684912139995504,0.8803379459995995,0.9503949280006054,0.9664080293332518
36,0.8968944270000065,0.9118737539993162,0.9057676500005982,0.9048452769999736
37,0.9222356399995988,0.8794696610002575,0.9931338470005358,0.931613049333464
38,1.0476130509996437,0.912356773999818,0.9554251969993857,0.9717983406662825
39,0.9261628650001512,0.887037770000461,0.9285889419998057,0.9139298590001393
40,0.8822550799995952,0.9168070720006654,0.9950368740001068,0.9313663420001225
